12048	  3.066859	0.398904
12304	  3.109534	0.395293
12560	  2.840689	0.411774
12816	  2.955830	0.429096
13072	  3.204189	0.445872
13328	  3.596332	0.463214
13584	  3.626125	0.481796
12048	  2.603747	0.380300
12304	  2.837078	0.396665
12560	  3.035285	0.416999
12816	  3.475932	0.429861
13072	  3.555498	0.445434
13328	  3.436778	0.473492
13584	  3.465426	0.484127
12048	  2.693726	0.380375
12304	  2.937370	0.395329
12560	  3.589879	0.418635
12816	  4.048746	0.453879
13072	  3.585526	0.451742
13328	  3.167751	0.470956
13584	  4.654787	0.489247
